,z0_s1,z0_s2,z0_s3,z0_s4
218,0.00019337281386788382,0.00029190628230625214,0.0007380473425964087,0.0006890126744987546
219,0.00016107557935413698,4.818164173795377e-05,4.58593596341235e-05,0.00022017058753968848
220,9.086306124402086e-05,0.00011188983685824026,0.00037869353322340194,0.0003142439260895848
221,0.00018363701569151049,0.00011443421653429812,0.000298570645234578,6.351984010826121e-05
222,7.676133733988269e-05,7.429880763849232e-05,0.0002376000998758393,0.00025582268956755996
223,0.00017473195445401782,5.2897505036595435e-05,8.740236865645298e-05,0.0009404599315370512
224,2.9338499378028698e-05,3.311047830730689e-05,0.0006690644451830208,0.0007111987706063813
225,5.259190510779978e-05,1.8671454123289033e-05,4.61291279330396e-05,7.659411071656074e-05
226,6.991131466606698e-05,5.864616896471817e-05,8.773653353702096e-05,0.0008896742292089911
227,0.0003503369217207763,0.00011779630227175042,6.326641816174288e-05,0.0005759007159357691
228,4.2023417636193505e-05,2.4676644997639936e-05,8.97282843747905e-05,0.0007166055619284419
229,4.135294485800867e-05,1.504842769806349e-05,1.5066862721309745e-05,1.657588080329627e-05
230,0.00016954755130886787,0.0003695410460086454,0.0008557193478168455,0.0011016005300872578
231,2.4981141930570907e-05,2.5894554762198944e-05,0.0001328410025147472,0.00010478502802054566
232,0.0001936153073841789,0.00013266109541962374,1.9751353093733452e-05,0.0012079468968767177
233,0.00019057644498239647,0.00031694639703783677,1.2882616875019952e-06,0.0006288622674650634
234,0.00018482744213640896,2.6329402191859737e-05,3.114379498195905e-07,0.000268558438628293
235,0.0045305435505587615,7.233943493298115e-05,0.0004143118327290053,6.825336560939431e-05
236,6.951579802395998e-05,3.0191135418892353e-05,0.0001686230467265211,1.4667756595836753e-05
237,0.00023713674158623655,0.0002286036775861785,0.00046847007600514203,0.0010979983201555696
238,8.688921891431358e-05,0.0001504081505923472,0.0003799941838479826,0.0005027431165562645
239,0.0001392012788846964,0.00012980525569325217,0.000163488754687668,0.0004958982657529171
240,8.492484788119179e-05,0.00017026085282698884,0.0046721430021257155,0.0007920798333580902
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,5.441115372303727e-05,0.05008605898996567,1.9269304080821122e-05,1.255320157652341e-06
260,5.954460048070525e-05,0.12677680350956333,0.0024158473297585616,4.16782947576143e-05
261,0.00012112237429346724,0.04348228595536905,0.011425562385083925,4.536766597556054e-05
262,6.455484151404376e-05,0.05541282165292932,0.00042486090052721735,1.293646195202969e-05
263,0.00010168612679443586,0.08880010730501536,0.00145983450951057,8.794039331010576e-05
264,0.00016539237493114076,0.11449281124597357,0.0016897533088124747,5.6599502007147736e-05
265,,,,
266,0.0001989607363211901,0.04063721126766082,0.006531868010144596,0.0001464669453935433
267,0.00016957194226455648,0.00048448713648562166,0.003691760675355002,2.5414875381384185e-05
268,0.00028338330080907503,0.00441205665781224,0.008076850008054495,0.00038017539599708436
269,0.00016323118125696718,0.00037749053688651037,0.0010095986337867878,0.0006535770289586582
270,7.835378889406815e-05,5.025887924308391e-05,4.431768213618427e-05,0.00012880829551404057
271,0.0005246281028917803,0.0010522180631242287,0.009379380510340814,0.00019054007497400403
272,0.00012815722850162206,3.364153477050855e-05,4.0206891413802095e-05,5.096931878202698e-05
273,0.00017917012609719536,0.0014651849902060235,0.004030709549139503,0.00017872376399560847
274,0.00020429419114601367,0.034799680750106754,0.018686392180251022,0.0005771966432365111
275,0.00011101694603102177,0.030261692880030396,0.009013927081633384,0.0002014372671371291
276,0.00013482197926579945,0.02344074265490217,0.0009406632632236296,7.4717132425425495e-06
277,0.00011174761325016213,0.051587306543724204,0.0001928402385992384,0.0002482316790642565
278,8.029385304345766e-05,0.018106627810713326,0.00011716892097233392,0.0003493167719896083
279,8.511039443100602e-05,0.057362384098300724,0.00027514079053727626,0.00019271799652613043
280,0.0002171075183181927,0.05915409867830836,0.0013641703511965036,7.778226820754982e-05
281,0.00024742935433268973,0.08018153419052733,3.010720065668339e-05,0.00011209039153427594
282,0.00017651770905434457,0.027697473137444903,2.3271518946957897e-05,4.3437777045856876e-05
283,7.86218671716536e-05,0.022236500305420476,0.01614541079905224,0.00030576080556701953
284,3.7908828114799e-05,0.016207241035604864,0.035001346740351054,2.8130194634250408e-05
285,2.028957512764692e-05,0.011159171090919098,0.04810321929939485,0.00017416944800735873
286,0.00013320429511514794,0.006497005624455999,0.00013530963341350973,0.0001600639239402382
287,5.836723282370664e-05,0.0009385255194276667,7.293907424935607e-10,7.239629762999155e-05
